City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,rio de janeiro,-22.9028,-43.2075,19.0,94,100,8.75,BR,1689808223
155,casey,39.2992,-87.9925,29.44,19,68,3.02,US,1689808223
156,chesma,53.8111,60.6533,14.19,90,21,3.58,RU,1689808224
157,dudinka,69.4058,86.1778,13.34,96,96,2.45,RU,1689808224
158,havre,49.5833,0.3333,16.87,88,75,5.14,FR,1689808224
159,shymkent,42.3,69.6,22.33,40,0,2.0,KZ,1689808224
160,wamba,8.9333,8.6,23.69,90,65,0.88,NG,1689808225
161,plastun,44.7561,136.2939,22.66,69,0,0.7,RU,1689808225
162,wailua homesteads,22.0669,-159.378,27.44,82,100,9.26,US,1689808225
163,buulobarde,3.8538,45.5674,23.27,77,24,8.66,SO,1689808225
164,thinadhoo,0.5333,72.9333,27.79,75,21,3.92,MV,1689808225
165,pingnan,23.5543,110.3976,25.65,93,91,1.11,CN,1689808226
166,punta arenas,-53.15,-70.9167,1.8,69,100,2.65,CL,1689808133
167,nogliki,51.8333,143.1667,17.31,84,97,2.05,RU,1689808226
168,port alfred,-33.5906,26.891,11.55,72,71,4.82,ZA,1689808226
169,saipan,15.1355,145.701,31.39,100,40,6.17,MP,1689808227
170,longavi,-35.9667,-71.6833,12.42,79,100,1.42,CL,1689807993
171,christchurch,-43.5333,172.6333,10.51,84,100,6.17,NZ,1689807859
172,lambarene,-0.7001,10.2406,23.5,82,89,2.73,GA,1689808227
173,twon-brass,4.3151,6.2418,25.65,88,86,5.46,NG,1689808228
174,pyapon,16.2833,95.6833,24.48,97,100,2.57,MM,1689808228
175,ancud,-41.8697,-73.8203,11.17,95,100,4.43,CL,1689808228
176,linhares,-19.3911,-40.0722,21.69,86,86,1.76,BR,1689808217
177,port saint john's,-31.6229,29.5448,13.37,68,90,5.44,ZA,1689808228
178,viqueque,-8.8673,126.3658,24.3,83,94,1.77,TL,1689808229
179,qaqortoq,60.7167,-46.0333,8.0,96,100,1.94,GL,1689808229
180,at taj,24.2049,23.2857,29.03,21,3,4.64,LY,1689808229
181,dubbo,-32.25,148.6167,3.07,87,3,3.6,AU,1689808229
182,aldinga beach,-35.2793,138.4604,13.13,94,99,8.12,AU,1689808229
183,chahuites,16.2833,-94.1833,33.28,54,17,6.84,MX,1689808230
184,taoudenni,22.6783,-3.9836,37.73,7,0,5.64,ML,1689808230
185,aykhal,66.0,111.5,16.8,72,44,4.53,RU,1689808230
186,la huerta,19.4667,-104.65,28.27,57,74,2.92,MX,1689808231
187,khandyga,62.6667,135.6,21.11,62,36,0.65,RU,1689808231
188,uturoa,-16.7333,-151.4333,25.36,82,97,9.67,PF,1689808232
189,khark,29.2614,50.3306,33.85,61,0,5.39,IR,1689808232
190,lospalos,-8.5186,127.0025,21.93,84,22,2.68,TL,1689808232
191,mermoz boabab,14.7065,-17.4758,28.31,80,8,6.18,SN,1689808232
192,tongouson,5.0214,120.1328,27.67,76,72,0.27,PH,1689808233
193,la passe,45.5549,-0.8967,18.13,87,15,3.28,FR,1689808233
194,orlu,5.7946,7.035,22.96,96,100,2.17,NG,1689808233
195,salekhard,66.53,66.6019,17.43,93,98,1.42,RU,1689808234
196,remire-montjoly,4.9167,-52.2667,27.02,83,100,1.03,GF,1689808172
197,nivala,63.9167,24.9667,13.71,96,38,1.9,FI,1689808234
198,ksar chellala,35.2122,2.3189,29.31,18,4,0.66,DZ,1689808235
199,kadugli,11.0167,29.7167,22.14,89,100,1.9,SD,1689808235
200,prince george,53.9166,-122.753,27.92,38,0,1.03,CA,1689808237
201,laojunmiao,39.8333,97.7333,19.93,34,66,2.71,CN,1689808237
202,kapuskasing,49.4169,-82.4331,21.05,56,75,1.03,CA,1689807960
203,hengchun,22.0042,120.7439,27.58,81,65,2.57,TW,1689808237
204,fort-shevchenko,44.5086,50.263,24.87,69,25,5.0,KZ,1689808237
205,nichinan,31.6,131.3667,27.82,80,80,2.6,JP,1689808237
206,kargasok,59.0556,80.8572,15.54,76,89,3.54,RU,1689808238
207,susuman,62.7833,148.1667,16.77,63,97,0.91,RU,1689808238
208,barah,13.7,30.3667,27.98,61,87,7.16,SD,1689808238
209,mount pleasant,32.7941,-79.8626,31.1,71,75,9.77,US,1689808051
210,columbia falls,48.3725,-114.1815,31.34,20,0,0.0,US,1689808238
211,makamba,-4.1348,29.804,19.24,46,77,0.77,BI,1689808238
212,tazovsky,67.4667,78.7,14.65,94,100,4.24,RU,1689808238
213,nar'yan-mar,67.6713,53.087,12.72,85,13,5.44,RU,1689808239
214,marabba,12.35,32.1833,28.21,61,100,5.55,SD,1689808239
215,okha,53.5739,142.9478,16.38,85,89,3.37,RU,1689808239
216,tarko-sale,64.9225,77.785,19.97,79,100,2.66,RU,1689808239
217,fortuna foothills,32.6578,-114.4119,47.05,16,0,5.66,US,1689808239
218,santa catarina mita,14.45,-89.75,27.15,68,53,3.76,GT,1689808239
219,ocean shores,46.9737,-124.1563,23.0,81,0,5.66,US,1689808027
220,geraldton,-28.7667,114.6,8.23,87,100,3.09,AU,1689808239
221,aginskoye,51.1,114.53,17.59,52,33,1.87,RU,1689808240
222,colonia,50.9333,6.95,17.2,79,33,1.19,DE,1689808240
223,luba,3.4568,8.5547,25.94,89,55,4.01,GQ,1689808240
224,sydney,-33.8679,151.2073,10.71,71,0,4.63,AU,1689807887
225,anadyr,64.75,177.4833,16.28,72,75,5.0,RU,1689808240
226,saudarkrokur,65.7461,-19.6394,6.7,85,47,0.87,IS,1689808240
227,les cayes,18.2,-73.75,28.87,76,18,4.96,HT,1689808241
228,nizhnyaya omka,55.4338,74.9426,17.58,81,100,2.87,RU,1689808241
229,mahriz,31.5917,54.4318,28.81,21,8,2.24,IR,1689808039
230,smithers,54.7804,-127.1743,26.0,35,98,1.38,CA,1689808059
231,ust-tsilma,65.441,52.1498,17.17,77,91,1.75,RU,1689808241
232,yaring,6.8662,101.3689,24.84,88,100,5.07,TH,1689808241
233,mugia,43.1041,-9.2179,18.84,88,13,6.06,ES,1689808242
234,pelabuhanratu,-6.9875,106.5514,22.07,83,19,2.36,ID,1689808242
235,flying fish cove,-10.4217,105.6791,23.82,78,75,6.69,CX,1689808242
236,kiunga,-6.1219,141.2906,24.13,85,91,1.81,PG,1689808242
237,cabo san lucas,22.8909,-109.9124,37.88,55,40,8.23,MX,1689807948
238,altpinar,39.2042,32.7478,18.85,48,0,3.28,TR,1689808242
239,preobrazheniye,42.9019,133.9064,19.62,94,100,0.65,RU,1689808242
240,kharabali,47.4196,47.2568,20.49,75,100,3.51,RU,1689808243
241,rongelap,11.1635,166.8941,29.01,79,77,7.27,MH,1689808243
242,arraial do cabo,-22.9661,-42.0278,20.02,85,100,11.24,BR,1689808178
243,bukittinggi,-0.3091,100.3706,18.47,99,97,0.81,ID,1689808243
244,cunha,-23.0744,-44.9597,13.86,97,100,2.38,BR,1689808243
245,howrah,22.5892,88.3103,28.0,94,75,1.54,IN,1689808243
246,saint-philippe,-21.3585,55.7679,20.77,89,45,5.08,RE,1689808243
247,eraan,9.0629,117.7016,26.93,80,71,1.64,PH,1689808244
248,chifeng,42.2683,118.9636,25.29,55,94,0.96,CN,1689808244
249,ust'-kut,56.7938,105.7672,16.15,61,16,0.2,RU,1689808244
250,severo-yeniseyskiy,60.3725,93.0408,14.26,66,16,0.92,RU,1689808244
251,borodulikha,50.7184,80.9295,22.64,30,100,3.64,KZ,1689808244
252,kidatu,-7.6992,36.9572,19.9,82,7,0.68,TZ,1689808244
253,grand-bassam,5.2118,-3.7388,24.98,91,100,4.48,CI,1689808244
254,kismayo,-0.3582,42.5454,24.84,82,49,7.55,SO,1689808245
255,saint-francois,46.4154,3.9054,17.69,72,0,1.54,FR,1689808245
256,brisas de zicatela,15.8369,-97.0419,32.29,58,40,4.12,MX,1689808245
257,itoman,26.1247,127.6694,29.21,79,40,3.09,JP,1689808245
258,kuusamo,65.9667,29.1833,12.48,89,100,1.34,FI,1689808245
259,new norfolk,-42.7826,147.0587,8.72,78,100,1.82,AU,1689808245
260,harstad,68.799,16.5293,10.69,100,100,1.79,NO,1689808245
261,kavali,14.9167,79.9833,28.1,62,100,8.35,IN,1689808246
262,queenstown,-31.8976,26.8753,3.47,86,58,1.66,ZA,1689808246
263,tura,25.5198,90.2201,24.07,94,81,2.57,IN,1689808247
264,pisco,-13.7,-76.2167,20.03,77,100,4.63,PE,1689808247
265,concepcion de la sierra,-27.9831,-55.5203,15.36,86,53,1.56,AR,1689808247
266,mejit,10.2753,170.8646,28.33,82,100,8.6,MH,1689808248
267,zonhoven,50.9914,5.3709,16.78,83,27,1.63,BE,1689808248
268,labrador city,52.9463,-66.9114,17.95,68,100,3.09,CA,1689808248
269,genhe,50.7833,121.5167,15.95,82,0,2.01,CN,1689808248
270,falam,22.9167,93.6833,17.2,97,100,0.95,MM,1689808248
271,gubkinskiy,64.434,76.5026,20.29,75,99,3.4,RU,1689808248
272,sturgis,41.7992,-85.4192,27.82,52,0,2.57,US,1689808409
273,igra,57.5558,53.0547,15.28,98,76,2.53,RU,1689808249
274,codrington,-38.2667,141.9667,9.05,65,93,10.24,AU,1689808249
275,buka,40.8108,69.1986,21.52,39,0,1.79,UZ,1689808249
276,kone,-21.0595,164.8658,22.4,72,77,4.58,NC,1689808249
277,fray luis beltran,-39.3167,-65.7667,12.71,48,100,7.48,AR,1689808249
278,ad dabbah,18.05,30.95,34.66,11,1,2.12,SD,1689808249
279,kish,26.5578,54.0194,32.63,74,91,2.29,IR,1689808249
280,st. john's,47.5649,-52.7093,24.04,90,28,1.34,CA,1689808183
281,irymple,-34.25,142.1667,7.27,75,34,0.89,AU,1689808250
282,maumere,-8.6199,122.2111,25.03,82,30,3.27,ID,1689808250
283,mount gambier,-37.8333,140.7667,7.85,88,98,7.03,AU,1689808250
