City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,tsetserleg,47.475,101.4542,12.78,98,100,0.78,MN,1689981165
113,silveira,39.1112,-9.3643,19.82,91,37,4.02,PT,1689981165
114,aktau,43.65,51.2,28.32,44,39,3.0,KZ,1689981165
115,mungwi,-10.1732,31.3694,12.3,63,0,2.01,ZM,1689981165
116,tchintabaraden,15.8969,5.7985,29.57,50,77,4.04,NE,1689981165
117,naze,28.3667,129.4833,26.68,75,97,2.12,JP,1689981165
118,saipan,15.1355,145.701,29.39,100,75,7.2,MP,1689981166
119,varna,43.2167,27.9167,23.58,94,0,1.03,BG,1689981166
120,khadan khak,30.7477,67.7085,24.64,61,89,0.6,PK,1689981166
121,arkansas city,37.062,-97.0384,28.12,57,100,2.57,US,1689980880
122,susuman,62.7833,148.1667,22.98,46,96,2.22,RU,1689981166
123,ancud,-41.8697,-73.8203,9.15,86,100,5.93,CL,1689981166
124,margate,51.3813,1.3862,14.94,82,99,1.34,GB,1689981056
125,isetskoye,56.4858,65.3226,13.24,82,29,3.51,RU,1689981167
126,saldanha,-33.0117,17.9442,11.22,64,100,1.09,ZA,1689981167
127,isangel,-19.55,169.2667,24.06,57,75,1.03,VU,1689981167
128,borovichi,58.3878,33.9155,12.68,81,34,3.75,RU,1689981167
129,illizi,26.4833,8.4667,30.89,12,0,4.73,DZ,1689981167
130,miracema do tocantins,-9.5618,-48.3967,24.95,35,0,2.04,BR,1689981167
131,marang,5.2056,103.2059,25.3,89,97,1.95,MY,1689981168
132,orchard homes,46.8633,-114.0484,37.08,18,0,2.24,US,1689981168
133,papatowai,-46.5619,169.4708,7.32,68,5,6.29,NZ,1689981168
134,salinopolis,-0.6136,-47.3561,25.17,85,15,5.26,BR,1689981168
135,guerrero negro,27.9769,-114.0611,23.69,62,84,7.84,MX,1689981168
136,estevan,49.1334,-102.9842,28.11,32,0,5.14,CA,1689981168
137,port saint john's,-31.6229,29.5448,14.19,77,83,3.56,ZA,1689981169
138,ngereklmadel,7.4883,134.4856,29.05,79,75,4.63,PW,1689981169
139,pangkalpinang,-2.1333,106.1333,25.31,90,94,3.38,ID,1689981169
140,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1689981169
141,mandiana,10.6333,-8.6833,24.08,85,57,2.6,GN,1689981169
142,praia da vitoria,38.7333,-27.0667,22.09,100,40,0.26,PT,1689981169
143,coahuayana de hidalgo,18.7,-103.6583,31.88,62,27,3.0,MX,1689981170
144,luebo,-5.35,21.4167,23.14,40,36,0.65,CD,1689981170
145,kapuskasing,49.4169,-82.4331,21.05,45,20,3.6,CA,1689981170
146,avarua,-21.2078,-159.775,25.03,61,40,9.26,CK,1689981170
147,ghanzi,-21.5667,21.7833,11.45,83,0,5.12,BW,1689981170
148,hammerfest,70.6634,23.6821,9.25,81,20,5.66,NO,1689981170
149,arauquita,7.0292,-71.4281,23.48,96,99,0.68,CO,1689981170
150,fortaleza,-3.7227,-38.5247,27.34,83,0,4.12,BR,1689980907
151,crane,31.3974,-102.3501,37.74,14,19,6.83,US,1689981171
152,badger,64.8,-147.5333,25.56,44,20,1.54,US,1689981171
153,arkalyk,50.2486,66.9114,15.99,60,32,1.36,KZ,1689981171
154,gagarawa,12.4074,9.5277,28.03,59,53,3.49,NG,1689981171
155,hamilton,39.1834,-84.5333,26.69,60,0,4.12,US,1689981004
156,lagos,6.5833,3.75,27.18,87,86,3.15,NG,1689981171
157,kingston,17.997,-76.7936,32.91,67,20,9.26,JM,1689981172
158,sosnovo-ozerskoye,52.5249,111.5418,13.67,62,100,3.75,RU,1689981172
159,rumonge,-3.9736,29.4386,22.62,49,2,1.0,BI,1689981172
160,slave lake,55.2834,-114.769,25.99,50,0,2.57,CA,1689981172
161,tazacorte,28.629,-17.9293,23.97,66,40,7.2,ES,1689981172
162,nova sintra,14.8667,-24.7167,22.99,83,19,7.26,CV,1689981172
163,bilibino,68.0546,166.4372,23.68,40,37,0.97,RU,1689981172
164,bridgewater,44.3835,-64.5155,20.62,99,66,2.06,CA,1689981173
165,saint-joseph,-21.3667,55.6167,19.15,85,60,6.75,RE,1689981173
166,lata,40.1629,-8.3327,13.48,97,4,0.83,PT,1689981173
167,hadibu,12.65,54.0333,25.87,81,69,11.92,YE,1689981173
168,agadez,19.75,10.25,32.54,10,0,2.77,NE,1689981173
169,bayanhongor,46.7167,100.1167,10.93,80,4,1.52,MN,1689981173
170,port augusta,-32.5,137.7667,9.79,65,45,2.37,AU,1689981174
171,whitehorse,60.7161,-135.0538,26.43,38,75,1.54,CA,1689980472
172,leava,-14.3,-178.1667,27.13,81,36,4.74,WF,1689981174
173,anadyr,64.75,177.4833,19.28,72,20,2.0,RU,1689981174
174,gizo,-8.103,156.8419,27.09,81,100,8.19,SB,1689981174
175,anar darah,32.7587,61.654,28.27,18,3,5.93,AF,1689981174
176,taltal,-25.4,-70.4833,17.29,79,86,1.78,CL,1689981020
177,jamestown,42.097,-79.2353,22.77,72,20,5.66,US,1689981175
178,guane,22.2025,-84.0875,31.93,57,58,3.06,CU,1689981175
179,kotabumi,-4.8333,104.9,22.4,94,13,1.88,ID,1689981175
180,namibe,-15.1961,12.1522,17.86,84,77,2.36,AO,1689981175
181,bonthe,7.5264,-12.505,25.2,89,100,5.11,SL,1689981175
182,cartagena del chaira,1.3349,-74.8429,22.56,95,83,1.55,CO,1689981175
183,arteche,12.2645,125.4048,26.37,90,58,3.21,PH,1689981175
184,fish town,5.1964,-7.8756,21.56,98,63,1.49,LR,1689981176
185,shingu,33.7333,135.9833,27.11,72,0,3.12,JP,1689981176
